# Light curves of Betelgeuse in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes). 
# Last updated on 2022-06-13T04:23:46
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, volume, page (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band (only for Bands 2 and 3). 
# 
#Date (UTC)     ,Band 02,Band 03
2018-06-27 13:50, 0.8667,-0.4095
2018-06-27 14:30, 0.8687,-0.3171
2018-06-28 14:30, 0.7372,-0.4601
2018-06-29 13:40, 0.5405,-0.3955
2018-06-30 14:20, 0.8568,-0.3840
2018-07-02 13:30,-------,-------
2018-07-02 14:10, 0.9254,-0.2977
2018-07-03 14:10, 0.8767,-0.3181
2018-07-04 13:20, 0.8949,-0.3803
2018-07-05 13:20, 0.8708,-0.4420
2018-07-05 14:00, 0.9733,-0.3034
2018-07-07 13:10,-------,-------
2018-07-07 13:50, 0.6572,-0.4334
2018-07-08 13:50, 0.7781,-0.3529
2018-07-09 13:00, 0.9260,-0.5117
2018-07-10 13:00, 0.7908,-0.4180
2018-07-10 13:40, 0.9011,-0.3201
2018-07-12 12:50, 0.8450,-0.3453
2018-07-12 13:30,-------,-------
2018-07-13 13:30, 0.7497,-0.3895
2018-07-14 12:40, 0.7320,-0.5453
2018-07-15 12:40, 0.9177,-0.2960
2018-07-15 13:20, 0.9093,-0.2231
2018-07-17 12:30, 0.7935,-0.3679
2018-07-18 13:10, 0.8180,-0.3855
2018-07-20 12:20, 0.9135,-0.3066
2018-07-20 13:00, 0.7551,-0.4809
2018-07-22 12:10, 0.7641,-0.4024
2018-07-23 12:50, 0.9571,-0.3461
2018-07-24 12:00, 0.8295,-0.3743
2018-07-25 12:00, 0.8548,-0.3046
2018-07-25 12:40, 0.6737,-0.5325
2018-07-27 11:50, 0.7846,-0.3667
2018-07-30 11:40,-------,-------
2018-07-30 12:20, 0.8417,-0.3448
2018-08-02 11:30, 0.8757,-0.2990
2018-08-04 12:00, 0.9156,-0.4824
2018-08-07 11:10, 0.8489,-0.4331
2018-08-09 11:40,-------,-------
2018-08-12 10:50, 0.8275,-0.2845
2018-08-12 11:30, 0.8848,-0.3741
2018-08-17 10:30, 0.7232,-0.3257
2018-08-17 11:10, 0.8333,-0.3100
2018-08-22 10:10, 0.7787,-0.3769
2018-08-22 10:50, 0.6671,-0.4520
2018-08-27 09:50, 0.6956,-0.3511
2018-08-27 10:30, 0.8908,-0.3430
2018-08-30 09:40,-------,-------
2018-09-01 10:10, 0.9345,-0.3263
2018-09-04 09:20, 0.8607,-0.2572
2018-09-06 09:50, 1.0228,-0.3539
2018-09-09 09:00, 0.9866,-0.2793
2018-09-11 09:30,-------,-------
2018-09-13 08:40,-------,-------
2018-09-14 08:40, 1.0966,-0.1878
2018-09-14 09:20, 0.8808,-0.2211
2018-09-19 08:20, 0.7954,-0.2301
2018-09-19 09:00, 0.8761,-0.0485
2018-09-24 08:00, 0.6621,-0.2652
2018-09-24 08:40, 0.9733,-0.2995
2018-09-27 07:50, 0.7461,-0.2975
2018-09-29 08:20, 0.8868,-0.3346
2018-10-02 07:30, 0.9031,-0.1548
2018-10-04 08:00, 1.0531,-0.1686
2018-10-07 07:10, 0.8028,-0.3536
2018-10-09 07:40,-------,-------
2018-10-12 06:50, 1.2468,-0.0781
2018-10-12 07:30, 1.1864,-0.2299
2018-10-17 06:30, 1.1316,-0.1757
2018-10-17 07:10, 0.9324,-0.1097
2018-10-22 06:10, 1.1837,-0.1657
2018-10-22 06:50, 0.8888,-0.0982
2018-10-25 06:00,-------,-------
2018-10-26 06:40,-------,-------
2018-10-27 06:30, 1.0344,-0.0893
2018-10-30 05:40, 1.2960,-0.1045
2018-11-01 06:10, 1.0579,-0.0653
2018-11-04 05:20, 1.3817, 0.0264
2018-11-06 05:50,-------,-------
2018-11-09 05:00, 1.4550,-0.0762
2018-11-09 05:40, 1.0046, 0.1490
2018-11-14 04:40, 1.1393,-0.0687
2018-11-14 05:20, 1.2554, 0.0492
2018-11-19 04:20, 1.4280,-0.0074
