# Light curves of Mira in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes). 
# Last updated on 2024-06-07T01:13:01
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band (only for Bands 2 and 3). 
# 
#Date (UTC)     ,Band 02,Band 03
2021-10-23 02:10, 3.2093,    nan
2021-10-24 02:10,-------,-------
2021-10-25 03:10, 3.2443, 2.4805
2021-10-28 01:50, 2.9205, 4.7104
2021-10-30 02:50, 2.4447, 2.6412
2021-11-04 02:30,    nan, 2.9871
2021-11-09 02:10,    nan, 2.4946
2021-11-10 01:00,-------,-------
2021-11-15 00:40, 4.1871, 2.3488
2021-11-20 00:20,    nan, 2.8555
2021-11-22 01:20, 2.7164,    nan
2021-11-25 00:00,    nan, 2.8941
2021-11-27 01:00,    nan,    nan
2021-12-02 00:40, 4.2215, 3.8713
2021-12-07 00:20,    nan,    nan
2021-12-12 22:50, 5.2296, 3.9408
2021-12-17 22:30,    nan,    nan
2021-12-19 23:30,-------,    nan
2021-12-22 22:10, 2.7958,    nan
2021-12-24 23:10, 5.8767,    nan
2021-12-29 22:50,    nan,    nan
2022-01-03 22:30, 2.7520, 2.5660
2022-01-09 21:00,    nan, 3.8717
2022-01-14 20:40, 5.1241,    nan
2022-01-19 20:20,    nan, 2.8493
2022-01-21 21:20,    nan, 4.4082
2022-01-24 20:00, 5.3970, 2.5941
2022-01-26 21:00, 3.0949, 3.0545
2022-01-31 20:40, 3.6971, 3.1697
2022-02-06 19:10, 2.7385, 5.8343
2022-02-11 18:50,    nan,    nan
2022-02-16 18:30,    nan,    nan
2022-02-18 19:30,    nan,    nan
2022-02-21 18:10, 3.5228,    nan
2022-02-23 19:10, 3.5136, 2.7084
2022-02-28 18:50, 2.9231, 4.1487
2022-03-05 18:30,-------,-------
2022-03-06 17:20,-------,-------
2022-03-11 17:00,    nan, 3.1365
2022-03-16 16:40, 4.8423, 6.9655
2022-03-18 17:40,-------,    nan
2022-03-21 16:20,    nan, 2.3787
2022-03-23 17:20, 3.6547, 2.8569
2022-03-28 17:00,    nan, 2.6156
2022-04-02 16:40, 2.7849,    nan
2022-04-08 15:10, 3.0464,    nan
2022-04-13 14:50, 2.9943,    nan
2022-04-18 14:30,    nan,    nan
2022-04-20 15:30, 3.1490, 4.4946
2022-04-25 15:10,    nan,    nan
2022-04-30 14:50, 2.8790, 3.1360
2022-05-06 13:20, 3.0583,    nan
2022-05-07 13:20,-------,-------
2022-05-11 13:00, 3.5941,    nan
2022-05-16 12:40, 3.8475,    nan
2022-05-18 13:40, 3.6864,    nan
2022-05-21 12:20, 4.6188, 3.0234
